date,description,categorie,type,montant
2025-01-01,Règlement Facture - CSE BTP,Ventes BTP,credit,2458338
2025-01-02,Règlement Facture - CSE BTP,Ventes BTP,credit,1431937
2025-01-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-01-02,Carburant Flotte Camions TotalEnergies,Carburant,debit,90675
2025-01-03,Règlement Facture - CBAO Siège,Ventes BTP,credit,2444276
2025-01-03,Carburant Flotte Camions TotalEnergies,Carburant,debit,100253
2025-01-05,Règlement Facture - PromoBeton,Ventes BTP,credit,1436607
2025-01-05,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1700193
2025-01-06,Carburant Flotte Camions TotalEnergies,Carburant,debit,128697
2025-01-07,Règlement Facture - Getran SA,Ventes BTP,credit,3415076
2025-01-07,Carburant Flotte Camions TotalEnergies,Carburant,debit,86839
2025-01-08,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3682834
2025-01-08,Carburant Flotte Camions TotalEnergies,Carburant,debit,98151
2025-01-09,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,4011572
2025-01-09,Carburant Flotte Camions TotalEnergies,Carburant,debit,117177
2025-01-10,Règlement Facture - PromoBeton,Ventes BTP,credit,4408462
2025-01-12,Règlement Facture - PromoBeton,Ventes BTP,credit,3539813
2025-01-12,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2544468
2025-01-14,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2221045
2025-01-15,Règlement Facture - CSE BTP,Ventes BTP,credit,3126574
2025-01-15,Paiement Acompte TVA / DGI Sénégal,Impôts,debit,681474
2025-01-15,Carburant Flotte Camions TotalEnergies,Carburant,debit,75158
2025-01-16,Règlement Facture - CSE BTP,Ventes BTP,credit,2410061
2025-01-17,Carburant Flotte Camions TotalEnergies,Carburant,debit,60863
2025-01-20,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,2246064
2025-01-21,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,2009074
2025-01-22,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,3260917
2025-01-22,Carburant Flotte Camions TotalEnergies,Carburant,debit,139475
2025-01-23,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,4163590
2025-01-23,Carburant Flotte Camions TotalEnergies,Carburant,debit,135731
2025-01-24,Carburant Flotte Camions TotalEnergies,Carburant,debit,104839
2025-01-25,Règlement Facture - Getran SA,Ventes BTP,credit,3584312
2025-01-26,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,1437411
2025-01-27,Règlement Facture - Client Particulier Villa,Ventes BTP,credit,2714507
2025-01-27,Règlement Fournisseur Sococim / Ciments du Sahel,Fournisseur,debit,1437310
2025-01-27,Carburant Flotte Camions TotalEnergies,Carburant,debit,91097
2025-01-28,Virement Salaires Équipes Chantier,Salaires,debit,1850000
2025-01-28,Carburant Flotte Camions TotalEnergies,Carburant,debit,104502
2025-01-29,Règlement Facture - CSE BTP,Ventes BTP,credit,2950533
2025-01-30,Règlement Facture - Port Autonome de Dakar,Ventes BTP,credit,4203067
2025-01-30,Carburant Flotte Camions TotalEnergies,Carburant,debit,99717
2025-01-31,Règlement Facture - Eiffage Sénégal,Ventes BTP,credit,3805931
2025-01-31,Carburant Flotte Camions TotalEnergies,Carburant,debit,80743
2025-02-02,Loyer Parc à Matériaux & Bureaux,Loyer,debit,650000
2025-02-03,Règlement Facture - CSE BTP,Ventes BTP,credit,3318695
2025-02-04,Règlement Facture - PromoBeton,Ventes BTP,credit,3367475
